App,Version,Package,AndroidVersion,minSdkVersion,Landroid/app/job/JobInfo/Builder;->build,Lcom/google/android/gms/gcm/PeriodicTask/Builder;->build,Lcom/google/android/gms/gcm/OneoffTask/Builder;->build,Landroid/app/AlarmManager;->setWindow,Landroid/app/AlarmManager;->setExact,Landroid/app/AlarmManager;->setExactAndAllowWhileIdle,Landroid/app/AlarmManager;->setInexactRepeating,Landroid/app/AlarmManager;->setRepeating,Landroid/app/AlarmManager;->set,Landroid/app/AlarmManager;->setAndAllowWhileIdle,Landroid/app/AlarmManager;->setAlarmClock,Landroid/os/Handler;->post,Landroid/os/Handler;->postDelayed,Landroid/os/Handler;->sendEmptyMessage,Landroid/os/Handler;->sendMessage,Landroid/os/Handler;->sendMessageAtTime,Landroid/os/Handler;->sendMessageDelayed
air.Aliza,1.0.7,air.Aliza,,8,0,0,0,0,0,0,0,0,0,0,0,18,6,2,5,0,7
air.com.generation5.babygamesLite,1.3,air.com.generation5.babygamesLite,,8,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,3
air.info.alpinusco.badboy.android,1.0.4,air.info.alpinusco.badboy.android,,8,0,0,0,0,0,0,0,1,2,0,0,29,8,3,5,0,3
air.MinusDrills,1.0.1,air.MinusDrills,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air.SuperSpellingLite_1_0_nl_NL,1.045,air.SuperSpellingLite_1_0_nl_NL,,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
basecom.android.locationapp.svmeppen,4.1.12,basecom.android.locationapp.svmeppen,21,10,0,0,0,0,0,0,1,1,0,0,0,88,17,9,15,0,7
co.il.ezapporlinadlan,5,co.il.ezapporlinadlan,,8,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,5
com.a18497094950a6dc346b8997a.a46645637a,1.01,com.a18497094950a6dc346b8997a.a46645637a,,8,0,0,0,0,0,0,0,0,1,0,0,38,16,3,1,0,11
com.aleteia.catholic,2.0,com.aleteia.catholic,,9,0,0,0,0,0,0,0,1,0,0,0,79,30,15,15,0,33
com.alimovla.sovershenniychelovek.second,2.0,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.amy.AmyBookRead,1.2,com.amy.AmyBookRead,,8,0,0,0,0,0,0,0,0,0,0,0,94,33,56,56,0,13
com.andromo.dev214032.app214238,1.0,com.andromo.dev214032.app214238,,7,0,0,0,0,0,0,0,0,0,0,0,19,8,4,3,0,5
com.anomalyinnovations.melt,2.4,com.anomalyinnovations.melt,,14,0,0,0,0,0,0,0,0,0,0,0,43,23,9,20,0,11
