App,Version,Package,AndroidVersion,minSdkVersion,Landroid/app/job/JobInfo/Builder;->build,Lcom/google/android/gms/gcm/PeriodicTask/Builder;->build,Lcom/google/android/gms/gcm/OneoffTask/Builder;->build,Landroid/app/AlarmManager;->setWindow,Landroid/app/AlarmManager;->setExact,Landroid/app/AlarmManager;->setExactAndAllowWhileIdle,Landroid/app/AlarmManager;->setInexactRepeating,Landroid/app/AlarmManager;->setRepeating,Landroid/app/AlarmManager;->set,Landroid/app/AlarmManager;->setAndAllowWhileIdle,Landroid/app/AlarmManager;->setAlarmClock,Landroid/os/Handler;->post,Landroid/os/Handler;->postDelayed,Landroid/os/Handler;->sendEmptyMessage,Landroid/os/Handler;->sendMessage,Landroid/os/Handler;->sendMessageAtTime,Landroid/os/Handler;->sendMessageDelayed
air.bunsuuAn,1.0.0,air.bunsuuAn,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air.com.frombit.AirMoto,1.0.0,air.com.frombit.AirMoto,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air.com.kidsopia.PovesteaLebedei,2.18.25,air.com.kidsopia.PovesteaLebedei,,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,7
air.com.ksdweb.toursekynoone,1.1,air.com.ksdweb.toursekynoone,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air.com.quicksailor.ColoringAquariumFish,2.0.1,air.com.quicksailor.ColoringAquariumFish,,8,0,0,0,0,0,0,0,0,0,0,0,18,6,0,5,0,7
air.dk.dr.ramasjang,1.7.7,air.dk.dr.ramasjang,,11,0,0,0,0,0,0,0,0,1,0,0,8,5,0,5,0,3
air.free.happy.game.Extreme_Skater,1.0,air.free.happy.game.Extreme_Skater,,8,0,0,0,0,0,0,0,0,0,0,0,12,8,1,6,0,0
air.HeinzUp,1.0.0,air.HeinzUp,,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0
air.net.risensoft.bt.grimm2,1.0.2,air.net.risensoft.bt.grimm2,,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,3
au.com.espn.sanfl,3.02,au.com.espn.sanfl,,9,0,0,0,0,0,0,0,0,2,0,0,36,10,10,10,0,8
biz.app4mobile.app_a9161ae4f35f4c38ae3b866fe0745176.app,1.22.32.219,biz.app4mobile.app_a9161ae4f35f4c38ae3b866fe0745176.app,,8,0,0,0,0,0,0,0,0,1,0,0,28,18,8,0,0,0
book.ApkS.apk.AOTZAECUGGGAQTVCS,1.0,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ch.apload.LCS,1.2,ch.apload.LCS,,8,0,0,0,0,0,0,0,0,1,0,0,15,7,11,3,0,0
co.kr.gaguyes2.byapps,1.1,co.kr.gaguyes2.byapps,,8,0,0,0,0,0,0,0,0,1,0,0,14,1,6,9,0,1
com.a1225837485143bb0ae55af8a.a17311100a,1.01,com.a1225837485143bb0ae55af8a.a17311100a,,8,0,0,0,0,0,0,1,0,1,0,0,42,18,9,1,0,11
com.admixm.admixm_01_26_n,4.9,com.admixm.admixm_01_26_n,,8,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
com.airkast.WPEZFM,5.0.7.11,com.airkast.WPEZFM,,10,0,0,0,0,0,0,0,0,1,0,0,146,71,13,30,0,33
com.allmark.galaxian,3.5,com.allmark.galaxian,,9,0,0,0,0,0,0,0,0,0,0,0,41,5,0,11,0,10
com.apcurium.MK.MetroTaxiCT,1.5.275,com.apcurium.MK.MetroTaxiCT,,10,0,0,0,0,0,0,0,0,0,0,0,53,10,13,27,0,18
com.app.konecti,1.0,com.app.konecti,,8,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0
com.app027600114,1.1,com.app027600114,,8,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0
com.appbuilder.u60334p139022,1,com.appbuilder.u60334p139022,,8,0,0,0,0,0,0,0,0,1,0,0,1,56,256,0,0,0
com.appbuilder.u642515p1001995,1.0,com.appbuilder.u642515p1001995,,8,0,0,0,0,0,0,0,0,1,0,0,27,33,148,10,0,12
com.appgiraffe.proformaevents,1.2.5,com.appgiraffe.proformaevents,,9,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0
com.appmaker.agent1,1.7,com.appmaker.agent1,,8,0,0,0,0,0,0,0,0,1,0,0,41,6,6,12,0,14
com.appmk.book.AOBTTCNZZHA4Q,1.0,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
com.appmk.book.AOBTTOOA,1.0,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
com.appmk.book.AOTDTEMFGJZBIKQDH,1.0,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0
com.apps.android.mx,2.1,com.apps.android.mx,,8,0,0,0,0,0,0,0,1,0,0,0,56,29,10,4,0,21
com.appsbuilder292810,5.0.6,com.appsbuilder292810,,7,0,0,0,0,0,0,0,0,1,0,0,7,0,3,6,0,0
com.appsmakerstore.taxis,1.0,com.appsmakerstore.taxis,,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
com.appstar.p6660ID,1.6.0.0,com.appstar.p6660ID,21,10,0,0,0,0,0,0,0,0,0,0,0,30,6,6,10,0,11
com.appsvision.aiesec,1.1,com.appsvision.aiesec,,8,0,0,0,0,0,0,0,0,1,0,0,25,5,3,6,0,1
com.appwranglers.ballotboxing,1.9,com.appwranglers.ballotboxing,,12,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0
com.barstarzz,1.3,com.barstarzz,,9,0,0,0,0,0,0,0,1,0,0,0,79,30,15,15,0,33
com.belkin.android.androidbelkinnetcam,1.3.4,com.belkin.android.androidbelkinnetcam,,8,0,0,0,0,0,0,0,0,1,0,0,6,16,7,0,0,0
com.carin.deerlivewallpaper,1.1.1,com.carin.deerlivewallpaper,,8,0,0,0,0,0,0,1,0,3,0,0,4,17,4,7,0,0
com.casinoapps1234.lasvegasslotmachinehd,19.0.0,com.casinoapps1234.lasvegasslotmachinehd,,8,0,0,0,0,0,0,0,2,0,0,0,13,2,3,6,0,1
com.CeanDoo.HeartSlicerNinja,1.4,com.CeanDoo.HeartSlicerNinja,,9,0,0,0,0,0,0,0,0,0,0,0,36,16,0,7,0,1
com.ceip.de.laredo.ejikxdkvwyuxt_xuq,43,com.ceip.de.laredo.ejikxdkvwyuxt_xuq,,14,0,0,0,0,0,0,1,1,0,0,0,155,59,23,29,0,25
com.chabaori.polygonslightsout,2.1,com.chabaori.polygonslightsout,,8,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0
com.chark0330,0.1,com.chark0330,,7,0,0,0,0,0,0,0,0,4,0,0,4,9,2,0,0,0
com.citysourced.renortp,1.8.0,com.citysourced.renortp,21,10,0,0,0,0,0,0,0,0,1,0,0,10,0,14,3,0,0
com.clipix.clipix,2.24.6,com.clipix.clipix,22,9,0,0,0,0,0,0,0,0,1,0,0,74,30,12,33,0,15
com.colorfuldata.shakeshake.led,1.5.1105,com.colorfuldata.shakeshake.led,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
com.concapps.sportoase,3.0,com.concapps.sportoase,,8,0,0,0,0,0,0,0,0,0,0,0,8,1,6,6,0,1
com.conduit.app_40f445d8e00140cf853de404b53f6a41.app,1.2.7.34,com.conduit.app_40f445d8e00140cf853de404b53f6a41.app,,8,0,0,0,0,0,0,0,0,1,0,0,11,13,6,0,0,0
com.conduit.app_7ab2d097545547b991a90b9dd147f459.app,1.1.2.11,com.conduit.app_7ab2d097545547b991a90b9dd147f459.app,,8,0,0,0,0,0,0,0,0,1,0,0,28,17,8,1,0,0
com.conocechiapas.app,1.0,com.conocechiapas.app,,14,0,0,0,0,0,0,0,0,1,0,0,3,0,6,2,0,8
com.creativeapp.scan,3.1.00,com.creativeapp.scan,,8,0,0,0,0,0,0,0,0,0,0,0,9,1,43,3,0,0
com.CRM24Mobile,2.6.0,com.CRM24Mobile,19,15,0,0,0,0,0,0,0,0,3,0,0,8,0,6,6,0,2
com.davincimt.datemypics,1.033,com.davincimt.datemypics,,14,0,0,0,0,0,0,0,0,3,0,0,94,21,28,38,0,12
com.deepkod.shareit,admob,com.deepkod.shareit,,13,0,0,0,0,0,0,0,0,0,0,0,31,6,6,10,0,10
com.dillons.mobile,10.3.1,com.dillons.mobile,21,9,0,0,0,0,0,0,0,0,4,0,0,16,6,6,0,0,2
com.diwaniyalabs.Axiom,1.0,com.diwaniyalabs.Axiom,,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
com.doapps.android.mln.MLN_bde011420001f68ed512be675a89e4aa,4.13.0.2,com.doapps.android.mln.MLN_bde011420001f68ed512be675a89e4aa,,15,0,0,0,0,0,0,0,0,1,0,0,162,60,18,8,0,16
com.doapps.android.mln.MLN_e27972d1feab028d1a4008a4011c0eee,4.16.1.1,com.doapps.android.mln.MLN_e27972d1feab028d1a4008a4011c0eee,21,14,0,0,0,0,0,0,1,1,2,0,0,197,87,20,25,0,18
com.doctorondemand.android.patient,2.1,com.doctorondemand.android.patient,,15,0,0,0,0,0,0,0,0,1,0,0,58,11,68,12,0,45
com.duoapps.android.kinesport,2.1,com.goodbarber.v2,,9,0,0,0,0,0,0,0,0,1,0,0,65,42,5,12,0,5
com.ectaco.ut.enar.lite,1.6.3.2m,com.ectaco.ut.enar.lite,,5,0,0,0,0,0,0,0,0,1,0,0,44,9,7,0,0,0
com.epubtree.jikimtalk.two,2.0,com.epubtree.jikimtalk.two,,10,0,0,0,0,0,0,0,0,0,0,0,25,2,8,6,0,1
com.ericom.ericomblaze,3.5.1,com.ericom.ericomblaze,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.fgsoft.bubbleeraser,1.0.2,com.fgsoft.bubbleeraser,,6,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,0,1
com.flaregames.royalrevolt,1.6.1,com.flaregames.royalrevolt,,8,0,0,0,0,0,0,0,1,5,0,0,19,5,3,2,0,0
com.forecomm.ludendo,2.3.1,com.forecomm.ludendo,,9,0,0,0,0,0,0,0,0,1,0,0,16,9,3,0,0,0
com.founder.jingmen,2.5.0,com.founder.jingmen,,7,0,0,0,0,0,0,0,0,5,0,0,26,14,93,62,0,1
com.funapps.keeponapp,1.1.4.3,com.funapps.keeponapp,,12,0,0,0,0,0,0,0,0,0,0,0,9,10,2,7,0,5
com.game.awmq.petrush,1.0.1,com.game.awmq.petrush,,7,0,0,0,0,0,0,0,0,1,0,0,59,29,15,14,0,2
com.girlsgames123.lioncare,1,com.girlsgames123.lioncare,,9,0,0,0,0,0,0,0,2,2,0,0,76,24,13,19,2,34
com.gorilla.abassett,1.0,com.gorilla.abassett,,8,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0
com.hopy.zombies.td,1.0.2.7,com.hopy.zombies.td,,9,0,0,0,0,0,0,0,0,0,0,0,9,10,21,0,0,0
com.ibyteapps.livingsoberfree,1.1,com.ibyteapps.livingsoberfree,,14,0,0,0,0,0,0,0,0,1,0,0,6,1,6,0,0,0
com.infraware.polarisoffice.entbiz.gd,2.0.2,com.infraware.polarisoffice.entbiz.gd,,14,0,0,0,0,2,0,0,0,4,0,0,85,103,216,189,0,24
com.instantencore.colsym_5092462,1.51.00,com.instantencore.colsym_5092462,,10,0,0,0,0,0,0,0,0,2,0,0,64,16,6,12,0,20
com.internetdesignzone.dressupallinone,2.1,com.internetdesignzone.dressupallinone,,8,0,0,0,0,0,0,0,0,0,0,0,12,6,0,11,0,6
com.jb.gokeyboard.theme.tmecolorkeypadthemeforsamsung,3.5,com.jb.gokeyboard.theme.tmecolorkeypadthemeforsamsung,,9,0,0,0,0,0,0,0,0,2,0,0,54,15,9,21,0,22
com.jellyhq.starfish,1.3.42,com.jellyhq.starfish,,14,0,0,0,0,0,0,0,0,0,0,0,53,10,9,23,0,12
com.jiku.talk.ecjk,1.0.1,com.jiku.talk.ecjk,,8,0,0,0,0,0,0,0,0,1,0,0,52,11,47,17,0,12
com.karthik.remember,1.01,com.karthik.remember,,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
com.kdotonline.lovelike,1.0,com.kdotonline.lovelike,,8,0,0,0,0,0,0,0,0,2,0,0,10,3,27,1,0,0
com.kingwaytek.localkingfun.tw,2.0.41,com.kingwaytek.localkingfun.tw,14,14,0,0,0,0,0,0,0,0,1,0,0,38,9,6,12,0,18
com.KT.islamic_education,1.1,com.KT.islamic_education,,8,0,0,0,0,0,0,1,0,4,0,0,45,24,10,16,0,11
com.lawbox.sbot,2.0,com.lawbox.sbot,,7,0,0,0,0,0,0,0,0,0,0,0,36,2,6,0,0,0
com.lewistownsentinel.allaccess,1.9.1,com.lewistownsentinel.allaccess,,8,0,0,0,0,0,0,0,0,1,0,0,10,2,11,2,0,8
com.lexusofconcord.dealerapp,3.0.59,com.lexusofconcord.dealerapp,21,9,0,0,0,0,0,0,0,0,1,0,0,6,3,3,8,0,8
com.lge.app1,2.0.2,com.lge.app1,,16,0,0,0,0,0,0,0,0,1,0,0,8,15,20,12,0,1
com.liorginsberg.lgtasks,1.0,com.liorginsberg.lgtasks,,16,0,0,0,0,0,0,0,0,2,0,0,7,1,6,4,0,4
com.livebricks.index.fjtaiwan,1.0.0,com.livebricks.index.fjtaiwan,,10,0,0,0,0,0,0,0,0,1,0,0,85,0,2,0,0,0
com.lucyphone,1.0,com.lucyphone,,3,0,0,0,0,0,0,0,0,0,0,0,14,6,0,2,0,1
com.ludogorets.pfc,13,com.ludogorets.pfc,,4,0,0,0,0,0,0,0,1,0,0,0,48,21,10,1,0,21
com.magstream.doxis.androidapp,1.2.0,com.magstream.doxis.androidapp,,11,0,0,0,0,0,0,0,0,2,0,0,6,3,6,0,0,0
com.milinterna,1.3,com.milinterna,,9,0,0,0,0,0,0,0,0,0,0,0,84,17,6,6,0,11
com.mmd.launch.DavidDrive,4.3,com.mmd.launch.DavidDrive,,11,0,0,0,0,0,0,1,0,4,0,0,7,5,6,0,0,1
com.mobileroadie.app_2555,5.2,com.mobileroadie.app_2555,,9,0,0,0,0,0,0,0,0,2,0,0,350,56,27,11,0,2
com.mobilmacher.fausport,2.1.3,com.mobilmacher.fausport,,10,0,0,0,0,0,0,0,0,2,0,0,15,3,38,7,0,1
com.modernalchemists.aaargpimpleslite,3.3.1,com.modernalchemists.aaargpimpleslite,,7,0,0,0,0,0,0,0,0,0,0,0,22,11,2,4,0,12
com.mogetwork.clock,1.1,com.mogetwork.clock,,13,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0
com.mosaiquefm.mosaiquefm,1.0.0,com.mosaiquefm.mosaiquefm,,9,0,0,0,0,0,0,0,0,1,0,0,25,5,6,6,0,5
com.muhanov,7.17,com.muhanov,,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
